nullNew check-in desk Desk1 opened.
Passenger Bruno Reilly joined queue
Passenger Herbert Swartz joined queue
Passenger Herman Cassidy joined queue
Passenger Ryan Swartz joined queue
Passenger Herbert Hogg joined queue
Passenger Tatiana McKay joined queue
Passenger Hermione McKay joined queue
Passenger Michael Hughes joined queue
Passenger Herman Swartz joined queue
Passenger Louise Hogg joined queue
Passenger Jerry Marshall joined queue
Passenger Hermione McKay joined queue
Passenger Eilidh Tonyoli joined queue
Passenger Tatiana Hughes joined queue
Passenger Chloe Gorse joined queue
Passenger Theodore Gorse joined queue
Passenger Bruno Marshall joined queue
Passenger Jerry Hughes joined queue
Passenger Ryan Hughes joined queue
Passenger Herbert McKay joined queue
Passenger Ryan Edwards joined queue
Passenger Tatiana Edwards joined queue
Passenger Elizabeth Swartz joined queue
Passenger Chloe Edwards joined queue
Passenger Herbert Tonyoli joined queue
Passenger Hermione Tonyoli joined queue
Passenger Herbert Reilly joined queue
Passenger Bruno Edwards joined queue
Passenger Theodore Swartz joined queue
Passenger Chloe Hogg joined queue
Passenger Elizabeth Cassidy joined queue
Passenger Elizabeth Gorse joined queue
Passenger Elizabeth Cassidy joined queue
Passenger Tatiana Marshall joined queue
Passenger Tatiana Hughes joined queue
Passenger Herbert Feasby joined queue
Passenger Bruno Gorse joined queue
Passenger Herbert Hogg joined queue
Passenger Ryan Edwards joined queue
Passenger Hermione Edwards joined queue
Passenger Jerry Cassidy joined queue
Passenger Ryan Tonyoli joined queue
Passenger Jamie Gorse joined queue
Passenger Hermione Reilly joined queue
Passenger Eilidh Cassidy joined queue
Passenger Tatiana McKay joined queue
Passenger Tatiana Feasby joined queue
Passenger Bruno Reilly joined queue
Passenger Louise Hogg joined queue
Passenger Ryan Marshall joined queue
Passenger Theodore Cassidy joined queue
Passenger Tatiana Edwards joined queue
Passenger Eilidh Edwards joined queue
Passenger Ryan Hughes joined queue
Passenger Herman Edwards joined queue
Passenger Tatiana Edwards joined queue
Passenger Jerry Feasby joined queue
Passenger Elizabeth Marshall joined queue
Passenger Ryan Swartz joined queue
Passenger Ryan Hughes joined queue
Passenger Chloe Reilly joined queue
Passenger Herman Swartz joined queue
Passenger Ryan Edwards joined queue
Passenger Jamie Gorse joined queue
Passenger Eilidh Reilly joined queue
Passenger Chloe Feasby joined queue
Passenger Herbert Hughes joined queue
Passenger Herman Cassidy joined queue
Passenger Herbert McKay joined queue
Passenger Herman Cassidy joined queue
Passenger Hermione Reilly joined queue
Passenger Hermione Edwards joined queue
Passenger Chloe Feasby joined queue
Passenger Jerry Feasby joined queue
Passenger Eilidh Tonyoli joined queue
Passenger Jamie Edwards joined queue
Passenger Elizabeth Gorse joined queue
Passenger Louise Edwards joined queue
Passenger Jerry Edwards joined queue
Passenger Herman Cassidy joined queue
Passenger Eilidh Reilly joined queue
Passenger Ryan Cassidy joined queue
Passenger Hermione Cassidy joined queue
Passenger Herman McKay joined queue
Passenger Herbert Hughes joined queue
Passenger Elizabeth Gorse joined queue
Passenger Herman Cassidy joined queue
Passenger Tatiana Edwards joined queue
Passenger Herman Marshall joined queue
Passenger Tatiana Hughes joined queue
Passenger Herman Edwards joined queue
Passenger Bruno Gorse joined queue
Passenger Tatiana Hughes joined queue
Passenger Michael Reilly joined queue
Passenger Jerry Edwards joined queue
Passenger Louise Edwards joined queue
Passenger Chloe Marshall joined queue
Passenger Hermione Marshall joined queue
Passenger Theodore Hogg joined queue
Passenger Theodore Edwards joined queue
Passenger Herman Cassidy joined queue
Passenger Chloe Feasby joined queue
Passenger Eilidh Gorse joined queue
Passenger Eilidh Feasby joined queue
Passenger Tatiana Reilly joined queue
Passenger Elizabeth Edwards joined queue
Passenger Herman McKay joined queue
Passenger Tatiana Hogg joined queue
Passenger Jerry Edwards joined queue
Passenger Louise Marshall joined queue
Passenger Chloe Gorse joined queue
Passenger Bruno Reilly joined queue
Passenger Hermione Reilly joined queue
Passenger Hermione Hogg joined queue
Passenger Tatiana Edwards joined queue
Passenger Tatiana Hughes joined queue
Passenger Herbert Gorse joined queue
Passenger Ryan Edwards joined queue
Passenger Ryan Swartz joined queue
Passenger Hermione Marshall joined queue
Passenger Bruno Hughes joined queue
Passenger Herbert Gorse joined queue
Time up, all desks closed
Generating report.
